route_id,trip_headsign,direction_id,route_short_name,stop_id,stop_sequence
100223,University District Montlake,0,43,41902,1
100223,University District Montlake,0,43,41904,18
100223,University District Montlake,0,43,41908,31
100223,University District Montlake,0,43,41965,37
100223,University District Montlake,0,43,41970,40
100223,University District Montlake,0,43,29270,49
100223,University District Montlake,0,43,29277,54
100223,University District Montlake,0,43,29273,60
100223,University District Montlake,0,43,29274,65
100223,University District Montlake,0,43,29275,71
100223,University District Montlake,0,43,29276,79
100223,University District Montlake,0,43,35825,81
100223,University District Montlake,0,43,29278,85
100223,University District Montlake,0,43,29280,94
100223,University District Montlake,0,43,29300,104
100223,University District Montlake,0,43,29320,109
100223,University District Montlake,0,43,29340,113
100223,University District Montlake,0,43,29350,117
100223,University District Montlake,0,43,29361,122
100223,University District Montlake,0,43,29380,132
100223,University District Montlake,0,43,25751,142
100223,University District Montlake,0,43,29405,163
100223,Capitol Hill University Of Washington Medical Center,1,43,10911,1
100223,Capitol Hill University Of Washington Medical Center,1,43,10912,8
100223,Capitol Hill University Of Washington Medical Center,1,43,10914,11
100223,Capitol Hill University Of Washington Medical Center,1,43,10917,15
100223,Capitol Hill University Of Washington Medical Center,1,43,29240,28
100223,Capitol Hill University Of Washington Medical Center,1,43,29247,37
100223,Capitol Hill University Of Washington Medical Center,1,43,29238,63
100223,Capitol Hill University Of Washington Medical Center,1,43,29244,74
100223,Capitol Hill University Of Washington Medical Center,1,43,29248,81
100223,Capitol Hill University Of Washington Medical Center,1,43,29249,84
100223,Capitol Hill University Of Washington Medical Center,1,43,29251,89
100223,Capitol Hill University Of Washington Medical Center,1,43,29253,94
100223,Capitol Hill University Of Washington Medical Center,1,43,29254,106
100223,Capitol Hill University Of Washington Medical Center,1,43,29256,113
100223,Capitol Hill University Of Washington Medical Center,1,43,29257,116
100223,Capitol Hill University Of Washington Medical Center,1,43,29258,119
100223,Capitol Hill University Of Washington Medical Center,1,43,29259,125
100223,Capitol Hill University Of Washington Medical Center,1,43,29260,133
100223,Capitol Hill University Of Washington Medical Center,1,43,29261,137
100223,Capitol Hill University Of Washington Medical Center,1,43,29301,144
100223,Capitol Hill University Of Washington Medical Center,1,43,29262,148
100223,Capitol Hill University Of Washington Medical Center,1,43,11060,151
100223,Capitol Hill University Of Washington Medical Center,1,43,11070,157
100223,Capitol Hill University Of Washington Medical Center,1,43,41980,159
100223,Capitol Hill University Of Washington Medical Center,1,43,41982,162
100223,Capitol Hill University Of Washington Medical Center,1,43,41986,168
100223,Capitol Hill University Of Washington Medical Center,1,43,41987,181
100223,Capitol Hill University Of Washington Medical Center,1,43,41989,197
100224,Ballard Wallingford,0,44,25240,1
100224,Ballard Wallingford,0,44,29405,11
100224,Ballard Wallingford,0,44,29420,20
100224,Ballard Wallingford,0,44,29440,33
100224,Ballard Wallingford,0,44,11352,38
100224,Ballard Wallingford,0,44,9587,46
100224,Ballard Wallingford,0,44,29455,56
100224,Ballard Wallingford,0,44,29480,73
100224,Ballard Wallingford,0,44,29500,79
100224,Ballard Wallingford,0,44,17310,86
100224,Ballard Wallingford,0,44,29530,95
100224,Ballard Wallingford,0,44,29540,99
100224,Ballard Wallingford,0,44,29557,110
100224,Ballard Wallingford,0,44,29581,127
100224,Ballard Wallingford,0,44,29600,135
100224,Ballard Wallingford,0,44,29620,155
100224,Ballard Wallingford,0,44,29630,162
100224,Ballard Wallingford,0,44,29640,172
100224,Ballard Wallingford,0,44,29650,186
100224,Ballard Wallingford,0,44,29660,191
100224,Ballard Wallingford,0,44,29680,194
100224,Ballard Wallingford,0,44,29700,201
100224,Ballard Wallingford,0,44,29720,208
100224,Ballard Wallingford,0,44,18740,213
100224,Ballard Wallingford,0,44,18760,218
100224,Ballard Wallingford,0,44,18785,226
100224,Ballard Wallingford,0,44,18085,228
100224,Ballard Wallingford,0,44,29405,1
100224,Ballard Wallingford,0,44,29420,10
100224,Ballard Wallingford,0,44,29440,23
100224,Ballard Wallingford,0,44,11352,28
100224,Ballard Wallingford,0,44,9587,36
100224,Ballard Wallingford,0,44,29455,46
100224,Ballard Wallingford,0,44,29480,63
100224,Ballard Wallingford,0,44,29500,69
100224,Ballard Wallingford,0,44,17310,76
100224,Ballard Wallingford,0,44,29530,85
100224,Ballard Wallingford,0,44,29540,89
100224,Ballard Wallingford,0,44,29557,100
100224,Ballard Wallingford,0,44,29581,117
100224,Ballard Wallingford,0,44,29600,125
100224,Ballard Wallingford,0,44,29620,145
100224,Ballard Wallingford,0,44,29630,152
100224,Ballard Wallingford,0,44,29640,162
100224,Ballard Wallingford,0,44,29650,176
100224,Ballard Wallingford,0,44,29660,181
100224,Ballard Wallingford,0,44,29680,184
100224,Ballard Wallingford,0,44,29700,191
100224,Ballard Wallingford,0,44,29720,198
100224,Ballard Wallingford,0,44,18740,203
100224,Ballard Wallingford,0,44,18760,208
100224,Ballard Wallingford,0,44,18785,216
100224,Ballard Wallingford,0,44,18085,218
100224,University Of Washington Medical Center Wallingford,1,44,18085,1
100224,University Of Washington Medical Center Wallingford,1,44,18090,3
100224,University Of Washington Medical Center Wallingford,1,44,18100,15
100224,University Of Washington Medical Center Wallingford,1,44,18120,21
100224,University Of Washington Medical Center Wallingford,1,44,29213,28
100224,University Of Washington Medical Center Wallingford,1,44,29215,35
100224,University Of Washington Medical Center Wallingford,1,44,29217,41
100224,University Of Washington Medical Center Wallingford,1,44,29219,44
100224,University Of Washington Medical Center Wallingford,1,44,29220,48
100224,University Of Washington Medical Center Wallingford,1,44,75407,65
100224,University Of Washington Medical Center Wallingford,1,44,29222,74
100224,University Of Washington Medical Center Wallingford,1,44,29223,80
100224,University Of Washington Medical Center Wallingford,1,44,29225,100
100224,University Of Washington Medical Center Wallingford,1,44,29582,115
100224,University Of Washington Medical Center Wallingford,1,44,29231,138
100224,University Of Washington Medical Center Wallingford,1,44,29232,142
100224,University Of Washington Medical Center Wallingford,1,44,17410,149
100224,University Of Washington Medical Center Wallingford,1,44,29234,156
100224,University Of Washington Medical Center Wallingford,1,44,29236,161
100224,University Of Washington Medical Center Wallingford,1,44,29865,180
100224,University Of Washington Medical Center Wallingford,1,44,10911,189
100224,University Of Washington Medical Center Wallingford,1,44,10912,196
100224,University Of Washington Medical Center Wallingford,1,44,10914,199
100224,University Of Washington Medical Center Wallingford,1,44,10917,203
100224,University Of Washington Medical Center Wallingford,1,44,29240,216
100224,University Of Washington Medical Center Wallingford,1,44,29242,227
100224,University Of Washington Medical Center Wallingford,1,44,29243,232
100224,University District,1,44,18085,1
100224,University District,1,44,18090,3
100224,University District,1,44,18100,15
100224,University District,1,44,18120,21
100224,University District,1,44,29213,28
100224,University District,1,44,29215,35
100224,University District,1,44,29217,41
100224,University District,1,44,29219,44
100224,University District,1,44,29220,48
100224,University District,1,44,75407,65
100224,University District,1,44,29222,74
100224,University District,1,44,29223,80
100224,University District,1,44,29225,100
100224,University District,1,44,29582,115
100224,University District,1,44,29231,138
100224,University District,1,44,29232,142
100224,University District,1,44,17410,149
100224,University District,1,44,29234,156
100224,University District,1,44,29236,161
100224,University District,1,44,29865,180
100224,University District,1,44,10911,189
100225,Loyal Heights Greenwood,0,45,9978,1
100225,Loyal Heights Greenwood,0,45,29130,16
100225,Loyal Heights Greenwood,0,45,25202,19
100225,Loyal Heights Greenwood,0,45,25210,30
100225,Loyal Heights Greenwood,0,45,75406,64
100225,Loyal Heights Greenwood,0,45,75403,83
100225,Loyal Heights Greenwood,0,45,75402,103
100225,Loyal Heights Greenwood,0,45,75404,114
100225,Loyal Heights Greenwood,0,45,75405,142
100225,Loyal Heights Greenwood,0,45,9581,158
100225,Loyal Heights Greenwood,0,45,9582,160
100225,Loyal Heights Greenwood,0,45,9584,163
100225,Loyal Heights Greenwood,0,45,37350,166
100225,Loyal Heights Greenwood,0,45,37352,170
100225,Loyal Heights Greenwood,0,45,37353,172
100225,Loyal Heights Greenwood,0,45,36931,192
100225,Loyal Heights Greenwood,0,45,36940,197
100225,Loyal Heights Greenwood,0,45,36960,208
100225,Loyal Heights Greenwood,0,45,16515,214
100225,Loyal Heights Greenwood,0,45,16520,215
100225,Loyal Heights Greenwood,0,45,36961,235
100225,Loyal Heights Greenwood,0,45,36991,269
100225,Loyal Heights Greenwood,0,45,37020,284
100225,Loyal Heights Greenwood,0,45,17640,294
100225,Loyal Heights Greenwood,0,45,17650,297
100225,Loyal Heights Greenwood,0,45,5420,301
100225,Loyal Heights Greenwood,0,45,5440,311
100225,Loyal Heights Greenwood,0,45,5450,316
100225,Loyal Heights Greenwood,0,45,5470,322
100225,Loyal Heights Greenwood,0,45,41450,327
100225,Loyal Heights Greenwood,0,45,37040,330
100225,Loyal Heights Greenwood,0,45,37060,334
100225,Loyal Heights Greenwood,0,45,37074,340
100225,Loyal Heights Greenwood,0,45,37080,343
100225,Loyal Heights Greenwood,0,45,37081,346
100225,Loyal Heights Greenwood,0,45,37083,351
100225,Loyal Heights Greenwood,0,45,37078,356
100225,Loyal Heights Greenwood,0,45,37086,360
100225,Loyal Heights Greenwood,0,45,37087,367
100225,Loyal Heights Greenwood,0,45,37088,371
100225,Loyal Heights Greenwood,0,45,37089,378
100225,Loyal Heights Greenwood,0,45,35530,390
100225,University District Roosevelt Station,1,45,35530,1
100225,University District Roosevelt Station,1,45,35540,10
100225,University District Roosevelt Station,1,45,35550,17
100225,University District Roosevelt Station,1,45,19210,20
